the,50033612,10.000254141151627,40.0,40.0,40.0,640016.2650337042
be,32394756,8.870048321789225,40.0,40.0,1,14192.077314862761
and,24778098,8.237779805475695,31.763295465765832,40.0,40.0,418654.4543091895
a,24225478,8.18667667285351,7.053181863063333,1,1,57.74211942773405
of,23159162,8.085633730195688,27.052361648212745,40.0,1,8749.419512969649
to,16770155,7.3966964019848325,27.052361648212745,40.0,1,8003.924242741106
in,15670692,7.2596059438508895,23.13472052263579,40.0,1,6717.958184618237
i,14217601,7.0672962756025175,6.269441045271578,1,1,44.30799734935738
you,12079413,6.756557171669953,33.526180824106376,40.0,40.0,362434.4919773113
it,11042044,6.591232542729927,23.13472052263579,40.0,1,6099.452911030357
have,10514314,6.5027760171672915,35.88164773288292,40.0,40.0,373328.50933413784
to,9232572,6.2736799898490885,27.052361648212745,40.0,1,6788.714398022129
that,8319512,6.096002585792923,31.763295465765832,40.0,40.0,309806.61006818106
for,8194970,6.070687953126122,14.858427740361263,21.07071768982628,40.0,76023.8896693841
do,8186412,6.068938236267256,27.052361648212745,40.0,1,6567.164479526728
he,6467470,5.686860013159886,40.0,40.0,1,9098.976021055818
with,6442861,5.680881792270206,35.78368013065895,40.0,40.0,325252.5710634905
on,6080156,5.590789877597324,27.052361648212745,40.0,1,6049.762786717194
this,5541440,5.449502616537969,23.063450540772934,40.0,40.0,201094.93450933782
we,5180711,5.349234182760141,40.0,40.0,1,8558.774692416226
that,5002963,5.297957873879601,31.763295465765832,40.0,40.0,269248.9621011493
not,4655980,5.193930975888021,33.526180824106376,40.0,40.0,278612.27053687855
but,4523086,5.152600502178686,40.0,40.0,40.0,329766.4321394359
they,4503650,5.146482410149181,40.0,40.0,40.0,329374.8742495476
say,4096416,5.013656516789006,27.511340605493352,40.0,40.0,220691.85937973403
at,4024079,4.989072785453629,23.526590931531665,40.0,1,4695.034982040192
what,3807502,4.913501985830019,31.763295465765832,40.0,40.0,249710.42455607367
his,3718978,4.881715509592181,23.063450540772934,40.0,40.0,180142.72673536543
from,3711425,4.878978170378237,28.8592425531701,40.0,40.0,225285.78308890812
go,3546732,4.818261705262893,27.052361648212745,40.0,1,5213.814326660241
or,3420339,4.770265225770181,8.384608564467637,2.1414353796525605,1,85.65057686935498
by,3372222,4.751655629328642,40.0,40.0,1,7602.649006925827
get,3347615,4.7420642996027835,40.0,40.0,40.0,303492.11517457815
she,3188078,4.678608388171763,35.74804513972752,40.0,40.0,267601.7661623552
my,3106939,4.645449450702423,40.0,40.0,1,7432.719121123877
can,3091046,4.6388812332249,31.763295465765832,40.0,40.0,235753.8483864299
as,2946119,4.577827825381534,15.022681210986708,11.604049872063612,1,798.0249922463951
know,2761628,4.496876598585644,33.526180824106376,40.0,40.0,241220.95678059955
if,2709809,4.473437120606314,23.13472052263579,40.0,1,4139.668702432466
me,2638743,4.440757871107908,40.0,40.0,1,7105.212593772653
your,2577505,4.412082798165432,18.09533732830808,40.0,40.0,127741.00248516626
all,2503556,4.376790485911021,31.763295465765832,40.0,40.0,222434.06303319134
who,2493429,4.371898817741169,27.052361648212745,40.0,40.0,189232.30065108454
about,2427703,4.3397962777259576,34.70391427849464,40.0,40.0,240972.66881333082
their,2417058,4.334537912036583,12.899607177572785,30.566775638348105,40.0,68364.22764573492
will,2372215,4.312200657060958,35.78368013065895,40.0,40.0,246890.2543543787
so,2369749,4.310963450573189,18.548451927667788,40.0,1,3198.4679329955857
would,2349400,4.30071848433303,38.381545206026594,40.0,40.0,264109.1534797158
make,2290830,4.270867483733473,35.88164773288292,40.0,40.0,245193.22010423767
just,2270900,4.260583914467251,35.74804513972752,40.0,40.0,243692.07375355563
up,2108756,4.174391547212592,40.0,40.0,1,6679.026475540148
think,2077762,4.157373501233602,35.78368013065895,40.0,40.0,238025.7976829134
time,2018725,4.124442363746998,35.78368013065895,40.0,40.0,236140.36201865837
there,1980173,4.102559643786112,30.666123458127444,40.0,40.0,201295.360849082
see,1958700,4.090237178960132,35.74804513972752,40.0,40.0,233948.7732890537
her,1931189,4.074305981188326,21.332246916254892,40.0,40.0,139062.56192493366
as,1880190,4.044333175892696,15.022681210986708,11.604049872063612,1,705.0241019199136
out,1828593,4.013403691627305,33.526180824106376,40.0,40.0,215286.55661701298
one,1816593,4.00611998814252,33.526180824106376,40.0,40.0,214895.84500085277
come,1802158,3.997311991201181,36.76309041205319,40.0,40.0,235125.6674203414
people,1800205,3.996116383844211,38.381545206026594,40.0,40.0,245403.39461609616
take,1768822,3.9767739359236365,35.88164773288292,40.0,40.0,228309.12237139558
year,1729962,3.95247568928614,13.095542382020723,40.0,40.0,82815.70064472515
him,1717209,3.944415445169155,31.567360261317894,40.0,40.0,199223.6534047381
them,1701589,3.9344839047504285,40.0,40.0,40.0,251806.9699040274
some,1684262,3.923389481143902,34.63711298191694,40.0,40.0,217431.81556871333
want,1671524,3.9151805532990354,35.88164773288292,40.0,40.0,224773.00707857538
how,1666469,3.9119103322963915,33.526180824106376,40.0,40.0,209842.26106921418
when,1650353,3.9014362490434156,40.0,40.0,40.0,249691.9199387786
which,1613281,3.8770582499712054,35.78368013065895,40.0,40.0,221976.65962384315
now,1601991,3.8695536015694794,33.526180824106376,40.0,40.0,207570.1660076647
like,1583444,3.857141540103629,35.78368013065895,40.0,40.0,220836.35054359277
other,1539952,3.827617268814976,19.713792122281486,40.0,40.0,120730.96185771721
could,1529795,3.82063547135861,38.381545206026594,40.0,40.0,234627.02889551874
our,1467955,3.777386852646971,14.858427740361263,40.0,40.0,89801.64735591308
into,1461573,3.772848889393536,22.836041778871696,40.0,40.0,137851.09578169676
here,1413594,3.738265272651225,30.666123458127444,40.0,40.0,183420.96699256467
then,1344434,3.686886179675491,40.0,40.0,40.0,235960.71549923142
than,1342798,3.6856478517866313,31.763295465765832,40.0,40.0,187309.31471850222
look,1338475,3.682370402932432,30.28927123615956,40.0,40.0,178458.10548228258
way,1260011,3.6215056122720775,31.763295465765832,40.0,40.0,184049.5244696435
more,1248955,3.6127105682945655,27.429213870180632,27.380478459884188,40.0,108529.4381162466
these,1223310,3.5920907532453077,35.74804513972752,40.0,40.0,205456.35582881776
no,1206112,3.57808674764594,27.052361648212745,40.0,1,3871.8278682398122
thing,1202004,3.574720309704386,35.78368013065895,40.0,40.0,204666.63699045096
well,1189096,3.5640879046969847,40.0,40.0,40.0,228101.625900607
because,1167024,3.5457117742330455,33.68886900616898,40.0,40.0,191121.63119322888
also,1142799,3.5252511425587603,18.682054520823186,40.0,40.0,105374.29447180318
two,1139973,3.522843886667666,27.052361648212745,40.0,40.0,152481.99496372655
use,1126042,3.510913551742114,35.74804513972752,40.0,40.0,200813.27380697307
tell,1119692,3.50544000756788,40.0,40.0,40.0,224348.16048434435
good,1111721,3.498537292157884,30.28927123615956,40.0,40.0,169549.03195518296
first,1101803,3.4898982975623265,28.972946934120717,30.566775638348105,40.0,123627.49301890007
man,1091176,3.480579013536826,31.763295465765832,40.0,40.0,176887.45535826235
day,1068902,3.4608306387612315,31.763295465765832,40.0,40.0,175883.81781751697
find,1051936,3.4455875114622367,35.78368013065895,40.0,40.0,197273.28219577257
give,1048189,3.44219704689462,35.78368013065895,40.0,40.0,197079.16491644148
more,1037966,3.432901934698581,27.429213870180632,27.380478459884188,40.0,103127.80695766908
new,1017175,3.4137915683694913,40.0,40.0,40.0,218482.66037564748
one,999446,3.3972709674034482,33.526180824106376,40.0,40.0,182236.03321864767
us,992207,3.390464335759162,31.49609027945504,40.0,1,4271.454832333725
any,981535,3.380363860254691,31.763295465765832,40.0,40.0,171794.39372010643
those,964458,3.364034675167595,32.51113555178071,40.0,40.0,174989.73972042283
very,963552,3.3631625199462936,30.666123458127444,40.0,40.0,165016.25127427207
her,959780,3.3595250321083094,21.332246916254892,40.0,40.0,114665.94801003776
need,945498,3.345657809157722,40.0,40.0,40.0,214122.09978609422
back,938649,3.338953855331532,35.88164773288292,40.0,40.0,191691.46565337174
there,932354,3.332760857705647,30.666123458127444,40.0,40.0,163524.56947010575
should,920908,3.3214223093789217,37.85005084849253,40.0,40.0,201145.6052788955
even,920346,3.3208629630011077,40.0,40.0,40.0,212535.22963207087
only,905093,3.3055866388708415,36.76309041205319,40.0,40.0,194437.728751494
many,903833,3.3043163994708835,35.88164773288292,40.0,40.0,189702.90727008364
